都道府県,Prefecture
北海道,Hokkaido
青森県,Aomori
岩手県,Iwate
宮城県,Miyagi
秋田県,Akita
山形県,Yamagata
福島県,Fukushima
茨城県,Ibaraki
栃木県,Tochigi
群馬県,Gunma
埼玉県,Saitama
千葉県,Chiba
東京都,Tokyo
神奈川県,Kanagawa
山梨県,Yamanashi
長野県,Nagano
新潟県,Niigata
富山県,Toyama
石川県,Ishikawa
福井県,Fukui
静岡県,Shizuoka
岐阜県,Gifu
愛知県,Aichi
三重県,Mie
滋賀県,Shiga
京都府,Kyoto
大阪府,Osaka
兵庫県,Hyogo
奈良県,Nara
和歌山県,Wakayama
鳥取県,Tottori
島根県,Shimane
岡山県,Okayama
広島県,Hiroshima
山口県,Yamaguchi
徳島県,Tokushima
香川県,Kagawa
愛媛県,Ehime
高知県,Kochi
福岡県,Fukuoka
佐賀県,Saga
長崎県,Nagasaki
熊本県,Kumamoto
大分県,Oita
宮崎県,Miyazaki
鹿児島県,Kagoshima
沖縄県,Okinawa
―,Others
-,Others
－,Others
─,Others
オ-ストラリア産,Others
韓国,Others
東京県,Others都府,Kyoto,06_近畿,06_Kinki
大阪府,Osaka,06_近畿,06_Kinki
兵庫県,Hyogo,06_近畿,06_Kinki
奈良県,Nara,06_近畿,06_Kinki
和歌山県,Wakayama,06_近畿,06_Kinki
鳥取県,Tottori,07_中国,07_Chugoku
島根県,Shimane,07_中国,07_Chugoku
岡山県,Okayama,07_中国,07_Chugoku
広島県,Hiroshima,07_中国,07_Chugoku
山口県,Yamaguchi,07_中国,07_Chugoku
徳島県,Tokushima,08_四国,08_Shikoku
香川県,Kagawa,08_四国,08_Shikoku
愛媛県,Ehime,08_四国,08_Shikoku
高知県,Kochi,08_四国,08_Shikoku
福岡県,Fukuoka,09_九州,09_Kyushu
佐賀県,Saga,09_九州,09_Kyushu
長崎県,Nagasaki,09_九州,09_Kyushu
熊本県,Kumamoto,09_九州,09_Kyushu
大分県,Oita,09_九州,09_Kyushu
宮崎県,Miyazaki,09_九州,09_Kyushu
鹿児島県,Kagoshima,09_九州,09_Kyushu
沖縄県,Okinawa,10_沖縄,10_Okinawa
―,Others, その他, Others