No.,都道府県,Prefecture,県庁所在地,long,lat
1,北海道,Hokkaido,札幌市中央区北3条西6-1,141.346965,43.064311
2,青森県,Aomori,青森市長島1-1-1,140.740148,40.82491
3,岩手県,Iwate,盛岡市内丸10-1,141.152667,39.703531
4,宮城県,Miyagi,仙台市青葉区本町3-8-1,140.872183,38.268737
5,秋田県,Akita,秋田市山王4-1-1,140.103356,39.718174
6,山形県,Yamagata,山形市松波2-8-1,140.362555,38.24013
7,福島県,Fukushima,福島市杉妻町2-16,140.466701,37.750151
8,茨城県,Ibaraki,水戸市笠原町978-6,140.446796,36.341816
9,栃木県,Tochigi,宇都宮市塙田1-1-20,139.883525,36.56575
10,群馬県,Gunma,前橋市大手町1-1-1,139.060847,36.39125
11,埼玉県,Saitama,さいたま市浦和区高砂3-15-1,139.647804,35.857771
12,千葉県,Chiba,千葉市中央区市場町1-1,140.123179,35.604563
13,東京都,Tokyo,新宿区西新宿2-8-1,139.691647,35.689185
14,神奈川県,Kanagawa,横浜市中区日本大通1,139.642347,35.447504
15,新潟県,Niigata,新潟市中央区新光町4-1,139.022578,37.901907
16,富山県,Toyama,富山市新総曲輪1-7,137.211299,36.695285
17,石川県,Ishikawa,金沢市鞍月1-1,136.625669,36.594584
18,福井県,Fukui,福井市大手3-17-1,136.221641,36.065219
19,山梨県,Yamanashi,甲府市丸の内1-6-1,138.568876,35.664546
20,長野県,Nagano,長野市大字南長野字幅下692-2,138.180672,36.651277
21,岐阜県,Gifu,岐阜市藪田南2-1-1,136.722207,35.391165
22,静岡県,Shizuoka,静岡市葵区追手町9-6,138.383043,34.976962
23,愛知県,Aichi,名古屋市中区三の丸3-1-2,136.906698,35.180246
24,三重県,Mie,津市広明町13,136.50861,34.730546
25,滋賀県,Shiga,大津市京町4-1-1,135.869445,35.004386
26,京都府,Kyoto,京都市上京区下立売通新町西入薮ノ内町,135.755949,35.022702
27,大阪府,Osaka,大阪市中央区大手前2-1-22,135.519858,34.685983
28,兵庫県,Hyogo,神戸市中央区下山手通5-10-1,135.183087,34.691279
29,奈良県,Nara,奈良市登大路町30,135.832745,34.685295
30,和歌山県,Wakayama,和歌山市小松原通1-1,135.167511,34.225965
31,鳥取県,Tottori,鳥取市東町1-220,134.238258,35.503462
32,島根県,Shimane,松江市殿町1,133.050499,35.4723
33,岡山県,Okayama,岡山市北区内山下2-4-6,133.934414,34.66132
34,広島県,Hiroshima,広島市中区基町10-52,132.459569,34.396629
35,山口県,Yamaguchi,山口市滝町1-1,131.470754,34.185648
36,徳島県,Tokushima,徳島市万代町1-1,134.559304,34.065737
37,香川県,Kagawa,高松市番町4-1-10,134.04336,34.340146
38,愛媛県,Ehime,松山市一番町4-4-2,132.76585,33.841648
39,高知県,Kochi,高知市丸ノ内1-2-20,133.530887,33.559689
40,福岡県,Fukuoka,福岡市博多区東公園7-7,130.418228,33.606767
41,佐賀県,Saga,佐賀市城内1-1-59,130.299816,33.249572
42,長崎県,Nagasaki,長崎市尾上町3-1,129.867795,32.750396
43,熊本県,Kumamoto,熊本市中央区水前寺6-18-1,130.741553,32.789779
44,大分県,Oita,大分市大手町3-1-1,131.612674,33.2382
45,宮崎県,Miyazaki,宮崎市橘通東2-10-1,131.423855,31.911089
46,鹿児島県,Kagoshima,鹿児島市鴨池新町10-1,130.557905,31.560218
47,沖縄県,Okinawa,那覇市泉崎1-2-2,127.681145,26.211521
NA,―,Others,NA,NA,NA